Question_Number,Domain,Question_Text,Your_Answer,Correct_Answer,Is_Correct,Confidence,Flagged,Your_Notes,Explanation,Time_Elapsed_Seconds
11,Design Secure Architectures,"A company has a public-facing ALB that receives traffic from the internet. They want to protect the application from SQL injection and cross-site scripting (XSS) attacks. Which solution should they implement?",A,C,No,,Yes,"","AWS WAF (Web Application Firewall) can be associated with ALBs and provides managed rule groups specifically designed to detect and block SQL injection and XSS attacks. Shield protects against DDoS, not application-layer attacks like SQLi/XSS. GuardDuty is for threat detection, not inline traffic filtering.",6076
12,Design Secure Architectures,"A company must log all API activity across all AWS accounts in their organization and ensure that the log files cannot be tampered with. Which configuration achieves this?",B,B,Yes,Confident,No,"","An organization trail in CloudTrail automatically logs API activity across all accounts in the organization. Log file integrity validation uses SHA-256 hashing to detect tampering. S3 Object Lock (compliance mode) prevents log deletion or modification, ensuring immutability. Individual trails per account are less efficient for an organization.",6076
13,Design Secure Architectures,"A solutions architect is designing a solution where an on-premises application needs to access S3 objects using existing Active Directory credentials. The company does not want to create IAM users. Which approach should be used?",B,C,No,Confident,No,"","By configuring the on-premises Active Directory as a SAML identity provider in IAM, the application can use STS AssumeRoleWithSAML to obtain temporary credentials. This avoids creating IAM users while leveraging existing AD credentials. The AD handles authentication, and the IAM role defines the permissions.",6076
14,Design Secure Architectures,"A VPC has a CIDR block of 10.0.0.0/16. A solutions architect needs to create a subnet that supports exactly 256 IP addresses (including AWS-reserved addresses). What CIDR block should be used?",A,A,Yes,Confident,No,"1->2
2-> 4
3-> 8
4->16
5-> 32
6-> 64
7->128
8->256

32-8=24 
","A /24 CIDR block provides 256 IP addresses (2^8 = 256). AWS reserves 5 IP addresses in each subnet, leaving 251 usable. A /25 gives 128, /23 gives 512, and /28 gives 16.",6076
15,Design Secure Architectures,"A company needs to ensure that an EC2 instance can only be accessed via SSH from the corporate office IP range (203.0.113.0/24) and from no other source. The instance is in a public subnet. Which configuration is MOST secure?",B,C,No,Confident,No,"confident but don't know when to use NACL vs the rest like WAF or GuardDuty etc. ","Session Manager is the most secure option — it eliminates the need to open port 22, manage SSH keys, or use bastion hosts. Access is controlled through IAM policies, all sessions are logged, and no inbound rules are needed. While restricting security groups to the corporate IP works, removing SSH access entirely is more secure.",6076
16,Design Secure Architectures,"An application team is deploying a new microservice on ECS Fargate. The service needs to pull images from Amazon ECR and write logs to CloudWatch Logs. What is the MINIMUM IAM configuration required?",B,B,Yes,Guessing,No,"tf is fargate?? I forgot.","ECS Fargate uses two distinct roles: the task execution role (used by the ECS agent to pull images from ECR and push logs to CloudWatch) and the task role (used by the application container for its own AWS API calls). This follows least privilege. Full access or admin policies violate least privilege. Fargate doesn't use instance profiles.",6076
17,Design Secure Architectures,"A company operates a public-facing website and is experiencing a volumetric DDoS attack. They want to minimize the impact on availability with the LEAST operational overhead. What should they do?",B,B,Yes,Somewhat Sure,No,"","AWS Shield Advanced provides enhanced DDoS protection with real-time attack visibility, health-based detection (fewer false positives), 24/7 access to the DDoS Response Team (DRT), and cost protection. Associating it with CloudFront and ALB provides multi-layer protection with minimal operational overhead. Manual IP blocking doesn't scale.",6076
18,Design Secure Architectures,"A company wants to restrict S3 access so that objects can ONLY be accessed through a specific CloudFront distribution, not directly via the S3 URL. How should this be configured?",B,B,Yes,Confident,No,"","Origin Access Control (OAC) is the current recommended method to restrict S3 access to CloudFront only. You configure the CloudFront distribution with OAC and update the S3 bucket policy to only allow the CloudFront service principal with a condition matching the distribution ID. OAC replaces the legacy Origin Access Identity (OAI).",6076
19,Design Secure Architectures,"A company uses multiple AWS accounts and needs to share a single Amazon RDS database with applications in other accounts within the same organization. The database contains sensitive data. What is the MOST secure approach?",C,D,No,Unsure,Yes,"","The most secure approach combines VPC peering (private network connectivity), Secrets Manager with cross-account access (secure credential sharing), and IAM database authentication (eliminates password-based access where supported). Making RDS public is never recommended for sensitive data. RAM can share subnets but doesn't solve credential management.",6076
20,Design Resilient Architectures,"A company runs a web application on EC2 instances behind an ALB. They need the application to handle sudden spikes in traffic while minimizing costs during off-peak hours. Which solution is BEST?",A,A,Yes,Confident,No,"","Target tracking scaling policies automatically adjust capacity to maintain a specified metric (e.g., 60% average CPU). This handles unexpected spikes (scaling out) and reduces costs during low traffic (scaling in). Manual scaling is slow and error-prone. Running max capacity wastes money. Scheduled scaling doesn't handle unexpected spikes.",6076
21,Design Resilient Architectures,"A solutions architect is designing a system that must remain available even if an entire AWS Availability Zone fails. The application uses an ALB and EC2 instances. What is the MINIMUM architecture that provides this level of resilience?",B,B,Yes,Confident,No,"","Deploying across at least two AZs with an Auto Scaling group ensures that if one AZ fails, instances in the other AZ(s) continue serving traffic through the ALB. The ALB automatically routes traffic only to healthy targets. Multi-region is overkill for AZ-level resilience and adds complexity/cost.",6076
22,Design Resilient Architectures,"A company has a stateful web application that stores user session data locally on EC2 instances. Users are reporting session loss when instances are terminated during scale-in events. How should the architect solve this?",C,B,No,Somewhat Sure,No,"","Externalizing session state to ElastiCache Redis or DynamoDB decouples the session from the instance lifecycle. When instances are terminated, sessions persist in the external store. Sticky sessions only route to the same instance — they don't prevent session loss when that instance terminates. Disabling scale-in defeats the purpose of auto scaling.",6076
23,Design Resilient Architectures,"A company needs to design a disaster recovery (DR) strategy for a critical application with an RTO of 1 hour and RPO of 15 minutes. The production environment runs in us-east-1. Which DR strategy meets these requirements at the LOWEST cost?",D,B,No,Somewhat Sure,No,"oh boy I understand this but the 15m and the numbers make me unsure ","Warm standby maintains a scaled-down but functional replica of the production environment. It can be scaled up quickly (within the 1-hour RTO) and uses continuous replication (meeting the 15-minute RPO). Multi-site active-active exceeds the requirements and costs more. Pilot light may not meet the 1-hour RTO. Backup & restore typically has RTOs of hours.",6076
24,Design Resilient Architectures,"A company is designing a loosely coupled, distributed system. An order processing service needs to send tasks to a fulfillment service, but the fulfillment service occasionally goes offline for maintenance. Orders must not be lost. Which architecture is BEST?",B,B,Yes,Confident,No,"","SQS provides durable message queuing that decouples the producer and consumer. If the fulfillment service is offline, messages remain in the queue (up to 14 days retention) and are processed when it comes back. This prevents order loss. Direct API calls would fail during downtime. SNS is pub-sub and doesn't persist messages if subscribers are offline.",6076
25,Design Resilient Architectures,"A solutions architect needs to design a data lake on S3 that balances cost and access patterns. Data is queried frequently in the first 30 days, occasionally for the next 90 days, and rarely after that but must be retained for 7 years. Which approach is MOST cost-effective?",D,D,Yes,Confident,No,"","This lifecycle policy matches each phase to the most cost-effective storage class: Standard for frequent access (30 days), Standard-IA for infrequent access (30-120 days), and Glacier Deep Archive for rarely accessed archival data (cheapest archival tier, retrieval within 12 hours). Since the archival data is rarely accessed, Deep Archive is more cost-effective than Flexible Retrieval.",6076
26,Design Resilient Architectures,"An Amazon RDS MySQL database is experiencing heavy read traffic that is degrading write performance. The application can tolerate slightly stale data for read queries. What is the MOST effective solution?",B,B,Yes,Confident,No,"","Read replicas offload read traffic from the primary database. Since the application tolerates slight staleness (replication lag), this is ideal. Multi-AZ standby instances are for failover only and cannot serve read traffic. Vertical scaling helps temporarily but doesn't solve the fundamental read/write contention. Aurora Global Database is for cross-region replication.",6076
27,Design Resilient Architectures,"A company runs a critical application that requires an RDS database to automatically failover with minimal downtime in case of an infrastructure failure. Which feature should be enabled?",A,B,No,Unsure,No,"not sure at all both options seem plausible","Multi-AZ deployment maintains a synchronous standby replica in a different AZ. If the primary fails, RDS automatically fails over to the standby (typically 60-120 seconds). Read replicas use asynchronous replication and don't provide automatic failover in standard RDS (Aurora read replicas can be failover targets). Automated backups enable point-in-time recovery but don't provide instant failover.",6076
28,Design Resilient Architectures,"A company uses S3 to store critical documents. They need to protect against accidental deletion and be able to recover previous versions. Which combination of features should they enable?",B,B,Yes,Somewhat Sure,No,"","S3 Versioning preserves all versions of an object, allowing recovery of previous versions after accidental deletion or overwrite. MFA Delete adds an additional layer by requiring MFA authentication to permanently delete object versions or disable versioning, protecting against both accidental and malicious deletion.",6076
29,Design Resilient Architectures,"An application processes images uploaded by users. The processing takes 5-10 minutes per image and can be done asynchronously. The application must handle variable load (10 to 10,000 images per hour). Which architecture is MOST scalable and cost-effective?",C,B,No,Somewhat Sure,No,"2 options seem eligible: 

B
Configure an S3 event notification to send messages to an SQS queue, and use Lambda functions triggered by the SQS queue to process images
C
Configure S3 event notifications to trigger Lambda functions directly for each upload","SQS + Lambda provides fully managed scaling — Lambda automatically scales based on queue depth, and SQS handles the variable load with buffering. However, note that Lambda has a 15-minute timeout, so 5-10 minute processing fits. Direct S3-to-Lambda could work but SQS adds retry capability, dead-letter queues, and better error handling at scale.",6076
30,Design Resilient Architectures,"A solutions architect is designing a global application that must be deployed across multiple AWS Regions. The application requires the lowest possible latency for users worldwide. Which database solution should they use?",C,B,No,Unsure,No,"","DynamoDB Global Tables provide fully managed, multi-region, multi-active database replication with single-digit millisecond read and write latency in any region. It supports active-active writes in all regions. Aurora Global Database works well too but has a single write region (write forwarding adds latency). DynamoDB Global Tables are the most seamless for truly global, multi-active access.",6076
31,Design Resilient Architectures,"A company runs a batch processing job that reads from an SQS queue. Sometimes messages are processed more than once, causing duplicate records in the database. Which solution prevents this?",B,A,No,,Yes,"no idea","SQS FIFO queues provide exactly-once processing through built-in deduplication (using message deduplication IDs). Standard SQS queues offer at-least-once delivery, which can result in duplicates. Increasing visibility timeout reduces but doesn't eliminate the chance of duplicates. Long polling reduces empty receives but doesn't address duplicate processing.",6076
32,Design Resilient Architectures,"A three-tier web application uses an ALB, EC2 instances for the application tier, and an RDS database. During a recent AZ outage, the application was unavailable. The architect needs to redesign for AZ-level resilience. Which changes are needed? (Select the BEST answer)",A,A,Yes,Confident,No,"","Multi-AZ Auto Scaling ensures the application tier survives an AZ failure, and RDS Multi-AZ ensures the database tier automatically fails over. The ALB is inherently multi-AZ. CloudFront and multi-region are valuable but not necessary for AZ-level resilience. Enhanced monitoring only provides visibility, not resilience.",6076
33,Design High-Performing Architectures,"A company has a read-heavy application that repeatedly queries the same data from an RDS PostgreSQL database. The queries are identical and the data changes infrequently. What is the MOST effective way to improve performance?",B,B,Yes,Confident,No,"","ElastiCache provides in-memory caching with microsecond read latency. For read-heavy workloads with repeated identical queries on infrequently changing data, caching delivers the biggest performance improvement. Read replicas help distribute load but each still queries from disk. Larger instances have limits. DynamoDB migration is a major undertaking for an SQL workload.",6076
34,Design High-Performing Architectures,"A media company needs to deliver video content to users globally with low latency. The origin server is an S3 bucket in us-east-1. Which service should they use?",B,B,Yes,,No,"","CloudFront is AWS's CDN, designed to deliver content with low latency by caching it at edge locations worldwide. With S3 as the origin, CloudFront caches the video content close to viewers. Transfer Acceleration speeds up uploads to S3, not downloads to end users. Global Accelerator optimizes TCP connections but doesn't cache content.",6076
35,Design High-Performing Architectures,"A company is running an application that requires sustained high throughput with large sequential reads and writes to a file system shared across multiple EC2 instances. Which storage solution is BEST?",B,C,No,Confident,No,"no idea what that is 
Amazon FSx for Lustre","FSx for Lustre is a high-performance file system designed for workloads requiring high throughput with large sequential I/O operations (HPC, ML training, media processing). It provides sub-millisecond latency and hundreds of GB/s throughput. EFS Max I/O works for shared access but has higher latency. EBS is per-instance storage. S3 isn't a file system.",6076
36,Design High-Performing Architectures,"A solutions architect is designing an application that requires a NoSQL database with single-digit millisecond latency at any scale. The application has unpredictable traffic patterns with occasional traffic spikes up to 10x normal. Which database configuration is BEST?",A,B,No,Somewhat Sure,No,"that, or elasticcache ","DynamoDB on-demand mode automatically adapts to traffic patterns and can handle spikes instantly without capacity planning. It scales to accommodate up to 2x the previous peak within 30 minutes (and more with pre-warming). On-demand is ideal for unpredictable workloads. Provisioned with auto scaling has a lag in responding to sudden spikes. DocumentDB doesn't offer the same scaling model.",6076
37,Design High-Performing Architectures,"A company needs to run SQL queries on petabytes of structured data in S3 without loading it into a database. Queries are run by analysts ad-hoc, a few times per day. Which service is the MOST cost-effective?",B,B,Yes,Somewhat Sure,No,"","Amazon Athena is a serverless query service that lets you run SQL queries directly against data in S3. You pay only per query based on data scanned. For ad-hoc queries a few times per day, it's far more cost-effective than maintaining always-on clusters (Redshift, EMR) or loading data into RDS. Athena requires no infrastructure management.",6076
38,Design High-Performing Architectures,"A company is migrating a legacy application that uses sticky sessions on a single server. The application stores session state in local memory. After migration to AWS with multiple EC2 instances behind an ALB, how should session state be handled for optimal performance?",A,C,No,Confident,No,"","ElastiCache Redis provides sub-millisecond latency for session data, supports replication for high availability, and keeps sessions independent of any single EC2 instance. DAX + DynamoDB also works but adds more complexity. ALB sticky sessions don't solve the problem of instance failure. S3 has too much latency for session lookups.",6076
39,Design High-Performing Architectures,"An application on EC2 needs a block storage volume that delivers consistent, sub-millisecond latency and 64,000 IOPS for a transactional database workload. Which EBS volume type should be selected?",A,B,No,Confident,Yes,"i need to revise the EBS types ","io2 Block Express supports up to 256,000 IOPS and sub-millisecond latency, designed for I/O-intensive transactional databases. gp3 maxes out at 16,000 IOPS (3,000 baseline). st1 and sc1 are HDD-based and designed for throughput, not IOPS. For 64,000 IOPS, io2 Block Express is the only option.",6076
40,Design High-Performing Architectures,"A company has a REST API built with Amazon API Gateway and Lambda. During peak periods, some Lambda functions experience cold starts that add 2-3 seconds of latency. How can this latency be reduced?",C,C,Yes,Somewhat Sure,No,"pretty idk sure?","Provisioned Concurrency keeps a specified number of Lambda execution environments initialized and ready, eliminating cold starts. This is specifically designed for latency-sensitive applications. Increasing memory doesn't eliminate cold starts (though it can reduce them slightly). API Gateway caching helps for repeated identical requests but not for unique requests.",6076
41,Design High-Performing Architectures,"A company processes clickstream data in real-time from thousands of web servers. They need to ingest and process this data with sub-second latency and feed it into a real-time dashboard. Which ingestion service is MOST appropriate?",B,B,Yes,Confident,No,"","Kinesis Data Streams is designed for real-time data streaming with sub-second latency. It can ingest data from thousands of producers simultaneously and supports real-time processing with consumers. SQS is for message queuing (not real-time streaming). SNS is pub-sub notifications. AWS Batch is for batch processing, not real-time.",6076
42,Design High-Performing Architectures,"A solutions architect is optimizing an application that makes many small, random read requests to DynamoDB. The current read latency is 2-5ms but the application requires microsecond latency. Which solution should be implemented?",B,B,Yes,Confident,No,"","DAX is an in-memory cache for DynamoDB that reduces read latency from single-digit milliseconds to microseconds. It's a fully managed, DynamoDB-compatible caching service. Simply increasing RCUs doesn't reduce per-request latency. Eventually consistent reads reduce cost but don't significantly reduce latency. Global Tables address multi-region access, not latency optimization.",6076
43,Design High-Performing Architectures,"A company needs to transfer 50 TB of data from their on-premises data center to S3. Their internet connection is 1 Gbps, and they need the transfer completed within one week. Which solution is MOST appropriate?",B,D,No,Confident,No,"will I have a calculator on the exam? I had to calculate that it would only transfer 600,000GB ","At 1 Gbps, you can transfer ~10.8 TB/day (accounting for overhead), so 50 TB would take about 5 days — within the one-week deadline. AWS DataSync automates and accelerates the transfer with built-in retry, integrity checks, and scheduling over the existing internet connection. Snowball takes days just for shipping. Direct Connect takes weeks to provision.",6076
44,Design High-Performing Architectures,"A company has a multi-tier application. The web tier runs on EC2 instances behind an ALB. The API tier runs on Lambda. The database is Aurora MySQL. During load testing, the API tier performs well, but the Aurora database connections are being exhausted when Lambda scales up to hundreds of concurrent invocations. What should the architect do?",B,C,No,Confident,No,"","RDS Proxy manages a pool of database connections and shares them across Lambda invocations, solving the connection exhaustion problem. When Lambda scales to hundreds of concurrent executions, each would normally open its own database connection. RDS Proxy multiplexes these into fewer connections to the database. In-code pooling doesn't work well with Lambda's execution model.",6076
45,Design Cost-Optimized Architectures,"A company runs a production web application 24/7 on three m5.xlarge EC2 instances. The workload is steady and predictable. The instances have been running for 2 years and are expected to run for at least 3 more years. Which purchasing option provides the MOST cost savings?",B,B,Yes,Confident,No,"","For a steady, predictable, 24/7 workload that will run for 3+ more years, a 3-year Reserved Instance with All Upfront payment provides the maximum discount (up to 72% off On-Demand). Spot Instances can be terminated at any time, making them unsuitable for production workloads. A 1-year Savings Plan provides less discount than 3-year RIs.",6076
46,Design Cost-Optimized Architectures,"A data analytics team runs large-scale batch processing jobs that can be interrupted and resumed. The jobs are flexible on when they start and can tolerate a 2-hour delay. Which EC2 purchasing option should they use to MINIMIZE costs?",C,C,Yes,,No,"","Spot Instances offer up to 90% discount compared to On-Demand prices. Since the batch jobs can be interrupted and resumed (fault-tolerant) and are flexible on timing, they're ideal for Spot pricing. Reserved Instances require commitment and don't provide as deep a discount. Dedicated Hosts are the most expensive option.",6076
47,Design Cost-Optimized Architectures,"A company stores 100 TB of log data in S3 Standard. The data is accessed daily for the first week, then very rarely accessed but must be retained for compliance for 5 years. After 5 years, it must be permanently deleted. Which strategy MINIMIZES cost?",B,B,Yes,Confident,No,"","This lifecycle matches the access pattern: Standard for the active first week, Standard-IA for the brief infrequent period, then Glacier Deep Archive (cheapest storage at ~$1/TB/month) for the remaining ~5 years. A 5-year expiration rule handles automatic deletion. Storing in Deep Archive immediately would incur retrieval costs for the first week's daily access.",6076
48,Design Cost-Optimized Architectures,"A startup is building a serverless application and wants to minimize costs while maintaining the ability to scale. The application has unpredictable traffic ranging from 0 to 50,000 requests per minute. Which architecture is MOST cost-effective?",B,B,Yes,Confident,No,"","API Gateway + Lambda + DynamoDB on-demand is the most cost-effective for unpredictable traffic that can drop to zero. All three services are pay-per-use with no minimum cost. Lambda charges per invocation/duration, API Gateway per request, and DynamoDB on-demand per read/write. EC2-based solutions have baseline costs even at zero traffic.",6076
49,Design Cost-Optimized Architectures,"A company is running a development/test environment that is only used during business hours (8 AM to 6 PM, Monday to Friday). The environment consists of 10 EC2 instances and 2 RDS instances. How can they reduce costs?",A,B,No,Somewhat Sure,No,"","AWS Instance Scheduler stops resources outside business hours, eliminating costs for ~70% of the time (nights and weekends). For dev/test used only 50 hours/week out of 168, this saves roughly 70%. Reserved Instances save money on continuous workloads but you'd still pay for unused time. You can't use Spot for RDS. Lambda migration may not be feasible.",6076
50,Design Cost-Optimized Architectures,"A company has deployed a Lambda function that is invoked millions of times per month. Each invocation uses 256 MB of memory and runs for an average of 200ms. The team notices costs are high. After profiling, they find the function only uses 80 MB of memory. What should they do?",C,D,No,Unsure,No,"","Lambda pricing is based on memory allocated × duration. Reducing from 256 MB to 128 MB cuts the memory cost in half. Additionally, Graviton2 (arm64) Lambda functions are ~20% cheaper than x86. Combined, this significantly reduces costs. Simply reducing to 128 MB (option A) helps but misses the additional Graviton2 savings. Provisioned Concurrency adds cost, not reduces it.",6076
51,Design Cost-Optimized Architectures,"A company uses an ALB with EC2 instances and is surprised by high data transfer costs. Most traffic is between the ALB and EC2 instances in different Availability Zones. How can they reduce these costs?",C,C,Yes,Somewhat Sure,No,"","Cross-AZ data transfer costs $0.01/GB per direction. Zonal affinity (availability zone affinity) configures the ALB to prefer targets in the same AZ as the load balancer node receiving the request, reducing cross-AZ traffic. Moving to a single AZ eliminates cross-AZ costs but sacrifices high availability. ALB cross-zone load balancing distributes evenly, which can increase cross-AZ costs.",6076
52,Design Cost-Optimized Architectures,"A company wants to analyze cost and usage across 20 AWS accounts in an organization. They need to identify underutilized resources, right-size recommendations, and potential Reserved Instance savings. Which combination of tools should they use?",B,A,No,Guessing,Yes,"","AWS Cost Explorer provides cost/usage analysis with right-sizing recommendations (identifies underutilized EC2 instances). Trusted Advisor checks for idle resources, underutilized EBS volumes, and RI purchase recommendations. Together they cover cost analysis, right-sizing, and savings opportunities across the organization. AWS Budgets is for setting alerts, not analysis.",6076
53,Design Cost-Optimized Architectures,"A company runs a production application on m5.2xlarge instances but finds that CPU utilization averages only 10% while memory utilization is 80%. Which action will reduce costs while maintaining performance?",B,B,Yes,,No,"need to revise instance types ","The workload is memory-bound (80% memory, 10% CPU). An r5.xlarge has the same memory as an m5.2xlarge (32 GB) but with fewer vCPUs (4 vs 8) at a lower cost, better matching the workload profile. This is right-sizing — choosing an instance family and size that matches actual resource usage. Burstable instances might not sustain 80% memory utilization. Scaling based on CPU would scale in too aggressively since CPU is always low.",6076
54,Design Cost-Optimized Architectures,"A company has a data pipeline that processes files uploaded to S3. Files under 1 MB are processed by a Lambda function. Files over 1 GB are processed by an ECS Fargate task that takes 30-60 minutes. Both workloads are triggered by S3 events. How should the architect optimize cost for the large file processing?",B,B,Yes,Unsure,No,"","Fargate Spot offers up to 70% discount compared to regular Fargate pricing. Since each large file processing task is independent, interruption of one task only requires re-processing that single file. This provides significant cost savings over On-Demand Fargate or EC2. Lambda can't handle 30-60 minute tasks (15-min max). AWS Batch on Spot also works but Fargate Spot is simpler for container tasks.",6076
55,Design Resilient Architectures,"A company runs an e-commerce platform where order processing is critical. The order service publishes events that need to be consumed by an inventory service, a payment service, and a notification service — each independently. What is the BEST architecture?",B,B,Yes,Confident,No,"","The SNS-SQS fan-out pattern is ideal: SNS provides one-to-many message delivery, and each SQS queue provides independent, durable message consumption. Each consumer processes at its own pace, and messages aren't lost if a consumer is temporarily unavailable. EventBridge also works but SNS+SQS is the classic answer for this pattern. Direct HTTP creates tight coupling.",6076
56,Design Secure Architectures,"A company wants to centrally manage encryption keys used across multiple AWS services (S3, EBS, RDS) and needs the ability to audit key usage. They also need to disable a key instantly if it's compromised. Which service should they use?",C,C,Yes,Unsure,No,"","AWS KMS with customer managed keys (CMKs) provides centralized key management, integrates natively with S3/EBS/RDS, logs all key usage to CloudTrail for auditing, and allows instant key disabling. CloudHSM provides dedicated hardware but is more complex and expensive for this use case. ACM manages TLS certificates, not data encryption keys.",6076
57,Design High-Performing Architectures,"A solutions architect is designing an architecture for a genomics application that processes large datasets. The application uses a shared POSIX-compliant file system and runs on a cluster of EC2 instances. Processing requires high sequential throughput (100+ GB/s). Which storage solution should be used?",C,C,Yes,Unsure,No,"","FSx for Lustre is a high-performance, POSIX-compliant parallel file system that can deliver hundreds of GB/s throughput. It integrates with S3 for transparent data access. It's designed for genomics, HPC, and ML workloads. EFS General Purpose max throughput is much lower. EBS isn't shared. S3 File Gateway introduces additional latency and isn't designed for 100+ GB/s throughput.",6076
58,Design Cost-Optimized Architectures,"A company has an S3 bucket receiving 10 million PUT requests per month for objects averaging 1 KB each. The objects are never accessed again after being written. They need to retain the data for 1 year for compliance. What is the MOST cost-effective storage strategy?",C,C,Yes,Somewhat Sure,No,"","Since objects are never accessed again after writing, immediately transitioning to Glacier Deep Archive (~$1/TB/month) minimizes storage costs. The PUT request cost to Standard is incurred regardless, but storage costs drop dramatically. One Zone-IA has a 30-day minimum charge and is more expensive than Deep Archive for long-term storage. Note: objects must be in Standard/IA for at least 1 day before transitioning, but the cost is minimal.",6076
59,Design Resilient Architectures,"A company is running Aurora MySQL with a primary instance and two Aurora Replicas across three AZs. If the primary instance fails, what happens automatically?",B,B,Yes,Somewhat Sure,No,"","Aurora automatically detects primary failure and promotes a replica (typically within 30 seconds). The cluster endpoint automatically points to the new primary, so applications using the cluster endpoint reconnect automatically. This is faster than standard RDS Multi-AZ failover. You can influence which replica is promoted using priority tiers.",6076
60,Design Secure Architectures,"A company wants to host a static website on S3 with a custom domain name and HTTPS. The domain is registered with Route 53. Which combination of services and configurations is required?",B,B,Yes,Somewhat Sure,No,"","S3 static website endpoints don't support HTTPS directly. CloudFront provides HTTPS with an ACM certificate (which must be in us-east-1 for CloudFront). Route 53 alias record points the custom domain to the CloudFront distribution. This is the standard architecture for HTTPS static websites on S3.",6076
